language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.08  T=0.08 s (3920.3 files/s 491249.2 lines/s)"
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/EAN13Reader.h,10,19,21
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/UPCAReader.h,11,19,21
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/UPCEANExtensionSupport.cpp,6,17,21
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AI013x0xDecoder.cpp,8,0,21
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AI01AndOtherAIs.cpp,8,0,21
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AI01AndOtherAIs.h,11,27,21
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AI01decoder.h,15,26,21
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AI01weightDecoder.h,13,29,21
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/BlockParsedResult.h,14,26,21
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/pdf417/PDF417Reader.h,9,19,21
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/detector/FinderPatternInfo.h,7,18,21
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/detector/QRAlignmentPattern.cpp,6,20,21
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/datamatrix/decoder/DataBlock.h,9,19,20
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/multi/ByQuadrantReader.h,7,15,20
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/multi/MultipleBarcodeReader.h,6,15,20
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AI013103decoder.h,11,26,20
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AI01393xDecoder.h,12,26,20
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AI013x0xDecoder.h,13,29,20
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AnyAIDecoder.h,11,26,20
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/DecodedChar.h,15,26,20
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/QRCodeReader.h,9,19,20
